api-gateway  | 2026-08-06T07:01:39.754Z  WARN 1 --- [api-gateway] [or-http-epoll-5] [6a743153b083e5e9124fded897c25627-124fded897c25627] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.775Z  WARN 1 --- [api-gateway] [or-http-epoll-6] [6a743153594372016fa1e6aec1ccd84a-6fa1e6aec1ccd84a] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.787Z  WARN 1 --- [api-gateway] [or-http-epoll-6] [6a74315357e7fd25676b23a3a8562e69-676b23a3a8562e69] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.808Z  WARN 1 --- [api-gateway] [or-http-epoll-7] [6a7431533546a1c0e96fb0a1432382e2-e96fb0a1432382e2] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.821Z  WARN 1 --- [api-gateway] [or-http-epoll-7] [6a743153aae4bae12c6cdf233eb40d19-2c6cdf233eb40d19] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.844Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a7431539091fbbf84c01a6640b2953d-84c01a6640b2953d] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.856Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a7431535fd8117a358815dcfca527bb-358815dcfca527bb] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.879Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a743153d93b5bc36515aedd140d2cf3-6515aedd140d2cf3] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.892Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a743153d382c9c0653ea1db780dacb6-653ea1db780dacb6] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.916Z  WARN 1 --- [api-gateway] [or-http-epoll-3] [6a7431537260f6674456f48e0d028f07-4456f48e0d028f07] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.938Z  WARN 1 --- [api-gateway] [or-http-epoll-3] [6a7431535fec478c6fdc8ccbd22be075-6fdc8ccbd22be075] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.951Z  WARN 1 --- [api-gateway] [or-http-epoll-4] [6a743153770bd7fb53a69bd61cd1ce36-53a69bd61cd1ce36] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.964Z  WARN 1 --- [api-gateway] [or-http-epoll-4] [6a743153bff3ae132104982ad443b670-2104982ad443b670] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.987Z  WARN 1 --- [api-gateway] [or-http-epoll-5] [6a743153e143078be9d3cb46f7dcedb3-e9d3cb46f7dcedb3] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.010Z  WARN 1 --- [api-gateway] [or-http-epoll-5] [6a74315320d1f762e43d080e5d87acf8-e43d080e5d87acf8] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.022Z  WARN 1 --- [api-gateway] [or-http-epoll-6] [6a743154cc0daf56a5ae347958776fc3-a5ae347958776fc3] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.036Z  WARN 1 --- [api-gateway] [or-http-epoll-6] [6a7431541eab5e74667f5d1c88e3ca0b-667f5d1c88e3ca0b] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.059Z  WARN 1 --- [api-gateway] [or-http-epoll-7] [6a74315477158e2f87de536644197d0f-87de536644197d0f] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.077Z  WARN 1 --- [api-gateway] [or-http-epoll-7] [6a74315449bc8d0636267f8015b789c0-36267f8015b789c0] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.094Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a74315438344a7bf1d9034b9e5d7d1a-f1d9034b9e5d7d1a] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.106Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a7431547c6ee35427c6f0fde792eebc-27c6f0fde792eebc] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:40.130Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a74315494f81cf5612f3db32064a67d-612f3db32064a67d] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
